Name,Type,OfficialOrCommunity,URL,SourceRepo,MainPurpose,TargetUsers,SupportedAgents,InstallMethod,Authentication,Pricing,OpenSource,License,LastUpdate,Activity,SecurityNotes,BeginnerFriendly,RecommendedSection,VerifiedDate,EvidenceURL,Tier
GitHub Copilot CLI Changelog,Docs,Official,https://github.com/github/copilot-cli,https://github.com/github/copilot-cli,"Copilot CLI releases: plugins marketplace, MCP, hooks",Developers,GitHub Copilot CLI,npm install,GitHub account,Paid,Yes,Open,2026-09,Active,PermissionRequest hook,Yes,PART7 / LAB F,2026-09-18,https://github.com/github/copilot-cli,A
Microsoft Agent Framework,SDK,Official,https://learn.microsoft.com/agent-framework/overview/,https://github.com/microsoft/agent-framework,Unified SDK merging AutoGen + Semantic Kernel,Enterprise developers,"Microsoft Foundry, Anthropic, Azure OpenAI, OpenAI, Ollama",pip install agent-framework,Azure / API keys,Free+paid cloud,Yes,MIT,2026-09,Active,Enterprise governance,Partial,PART10,2026-09-18,https://learn.microsoft.com/agent-framework/overview/,A
OpenAI Plugin Directory,Directory,Official,https://help.openai.com/,N/A,Replaces App Directory (2026-07-09); packages skills+apps+templates,ChatGPT/Codex users,"ChatGPT, Codex",In-app browse,OpenAI account,Paid,N/A,N/A,2026-09,Active,Workspace policy controls,Yes,PART7.6,2026-09-18,https://agentconn.com/blog/openai-skills-catalog-directory-threat/,A
GitHub MCP Server,MCP,Official,https://github.blog/changelog/2026-05-11-secret-scanning-with-github-mcp-server-is-now-generally-available/,https://github.com/github/github-mcp-server,Official GitHub MCP server; secret scanning GA,Developers,MCP clients,/plugin install advanced-security@copilot-plugins,GitHub OAuth,Free,Yes,MIT,2026-05,Active,Scoped OAuth,Yes,PART7.7,2026-09-18,https://github.blog/changelog/2026-05-11-secret-scanning-with-github-mcp-server-is-now-generally-available/,A
SkillsMP,Directory,Community,https://skillsmp.com/,N/A,Aggregates 2.39M+ public SKILL.md files for search/discovery,Skill seekers,"Claude, Codex, ChatGPT agents",Web search; inspect GitHub source,None,Free,N/A,N/A,2026-09,Active,Does NOT certify quality; go to source repo,Yes,PART7.15,2026-09-18,https://skillsmp.com/,B
skills.sh (Vercel),Directory+CLI,Community(Vercel),https://skills.sh/,https://github.com/vercel-labs/skills,Agent Skills directory + leaderboard; npx skills add,Developers,"20+ agents (Claude Code, Cursor, Copilot, Codex, Kiro, OpenCode, Antigravity...)",npx skills add <owner>/<repo>,None (GitHub based),Free,Yes,Open,2026-05,Active,CLI downloads from GitHub; audit,Yes,PART7.2 Install Skill,2026-09-18,https://skills.sh/docs,B
SkillHub.club,Directory,Community,https://www.skillhub.club/,N/A,"AI-evaluated skill marketplace; 115.3K skills, 65 categories",Skill seekers,"Claude Code, Codex, Gemini CLI, OpenCode, OpenClaw",Web; one-command install,Free+Pro,Free+paid stacks,N/A,N/A,2026-07,Active,Quality signals are heuristic,Yes,PART7.15,2026-09-18,https://www.skillhub.club/,B
AgentSkillsHub (agentskillshub.dev),Directory,Community,https://agentskillshub.dev/,N/A,Security-graded MCP/skill directory; 156K+ repos; SAFE/CAUTION/UNSAFE,Developers,"MCP servers, Claude/Codex skills",Web paste-link audit,None,Free,N/A,N/A,2026-09,Active,Automated grade; not a substitute for audit,Yes,PART17 Security,2026-09-18,https://aitoolly.com/product/agent-skills-hub,B
officialskills.sh,Directory,Community,https://officialskills.sh/,https://github.com/awesome-agent-skills,Curated frontend of official-vendor skills (581+ from 48 teams),Skill seekers,Cross-platform,Web browse,None,Free,N/A,N/A,2026-05,Active,NOT vendor-official despite name,Yes,PART7.15,2026-09-18,https://www.everydev.ai/tools/official-agent-skills/llms.txt,B
agskills.dev,Directory,Community,https://agskills.dev/,N/A,Agent Skills marketplace pages with install commands,Developers,"Claude Code, Codex, ChatGPT",npx skills add,None,Free,N/A,N/A,2026-09,Active,Index of GitHub skills,Yes,PART7.15,2026-09-18,https://agskills.dev/,B
agentskills.codes,Directory+CLI,Community,https://agentskills.codes/,N/A,"Open registry of 19,296 installable skills; daily scan",Developers,Major coding agents,One-line install,None,Free,Yes,Open,2026-09,Active,Daily scan,Yes,PART7.15,2026-09-18,https://agentskills.codes/,B
agentskills.me,Directory,Community,https://agentskills.me/,N/A,Agent skills discovery by domain,Skill seekers,Cross-platform,Web,None,Free,N/A,N/A,2026-06,Active,Aggregator,Yes,PART7.15,2026-09-18,https://agentskills.me/,B
SkillMD.ai,Docs+Directory,Community,https://skillmd.ai/,N/A,SKILL.md authoring guides and resource-scout meta-skill,Authors,Claude Code etc.,Web,None,Free,N/A,N/A,2026-08,Active,Educational,Yes,PART7.3,2026-09-18,https://skillmd.ai/how-to-build/resource-scout/,B
skillhub.lol,Directory,Community,https://skillhub.lol/,N/A,Outcome-first raw skills marketplace layer,Skill seekers,Cross-platform,Web,None,Free,N/A,N/A,2026-04,Active,Preserves original source,Yes,PART7.15,2026-09-18,https://skillhub.lol/,B
agentskill.sh,Plugin Marketplace,Community,https://agentskill.sh/,N/A,Claude Code plugin marketplace; /learn self-improving command,Claude Code users,Claude Code ≥1.0.33,/plugin marketplace add URL,Claude account,Free,N/A,N/A,2026-06,Active,Third-party marketplace,Yes,PART7.2,2026-09-18,https://agentskill.sh/install,B
Tessl Skills Registry,Directory,Community,https://tessl.io/registry/skills/github/huggingface/skills,N/A,Skills registry organized by GitHub repo with last-updated,Developers,Cross-platform,Web,None,Free,N/A,N/A,2026-07,Active,Index,Yes,PART7.15,2026-09-18,https://tessl.io/registry/skills/github/huggingface/skills,B
SkillsLLM,Directory,Community,https://skillsllm.com/,N/A,Skill index with security/reliability/af scores,Skill seekers,"Claude Code, Codex, ChatGPT",Web,None,Free,N/A,N/A,2026-06,Active,Scores heuristic; go to source,Yes,PART17,2026-09-18,https://skillsllm.com/skill/skillhub,B
AI产品库 SkillHub (中文),Directory,Community,https://skills.aiproducthub.cn/,N/A,中文 AI Skills/Agents/Plugins 收录平台,中文用户,中文生态,Web,None,Free,N/A,N/A,2026-09,Active,中文聚合,Yes,PART7.15,2026-09-18,https://skills.aiproducthub.cn/,B
anthropics/skills,Skill Repo,Official,https://github.com/anthropics/skills,https://github.com/anthropics/skills,"Official Anthropic skills: doc skills + examples (skill-creator, mcp-builder, webapp-testing)",Claude users,"Claude Code, Claude API",git clone to ~/.claude/skills/,None,Free,Mixed Apache2.0 + source-available,Mixed,2026-09,Active,Doc skills source-available; commercial limits,Yes,PART7.2 / PART7.5,2026-09-18,https://github.com/anthropics/skills,A
openai/skills (DEPRECATED),Skill Repo,Official(deprecated),https://github.com/openai/skills,https://github.com/openai/skills,DEPRECATED 2026-06-22; moved to Plugin Directory,N/A,N/A,Do NOT use old install,N/A,Free,Yes,MIT,2026-06,Deprecated,Deprecated; do not teach old method,No,Appendix deprecated,2026-09-18,https://agentconn.com/blog/openai-skills-catalog-directory-threat/,D
openai/plugins (legacy),Plugin Repo,Official(legacy),https://github.com/openai/plugins,https://github.com/openai/plugins,Legacy ChatGPT plugins; superseded by Plugin Directory,N/A,N/A,N/A,N/A,Free,Yes,MIT,2024,Stale,Outdated,No,Appendix deprecated,2026-09-18,https://github.com/openai/plugins,D
huggingface/skills,Skill Repo,Official,https://github.com/huggingface/skills,https://github.com/huggingface/skills,"Official HF skills: hf-cli, model-trainer, best-model, evals, Gradio",ML practitioners,"Claude, Codex, Gemini, Cursor",pip install -e / gemini extensions install,HF token (optional),Free,Yes,Apache 2.0,2026-08,Active,Runs training scripts; review,Partial,PART7.2 / LAB B,2026-09-18,https://github.com/huggingface/skills,A
microsoft/skills,Skill Repo,Official,https://github.com/microsoft/skills,https://github.com/microsoft/skills,Microsoft official skills incl. Skills for Fabric,Copilot users,"GitHub Copilot (VS, VS Code, CLI)",Copilot CLI / Claude Code install,Microsoft account,Free,Yes,MIT,2026,Active,Enterprise scoped,Yes,PART7.2,2026-09-18,https://learn.microsoft.com/fabric/fundamentals/skills-for-fabric-install,A
NVIDIA/skills,Skill Repo,Official,https://github.com/NVIDIA/skills,https://github.com/NVIDIA/skills,NVIDIA official skills,CUDA/DL users,Cross-platform skills,git clone,NVIDIA NGC key for some,Free,Yes,Open,2026,Active,May require GPU/API,Partial,PART7.2,2026-09-18,https://github.com/NousResearch/hermes-agent/main/website/docs/user-guide/features/skills.md,A
travisvn/awesome-claude-skills,Awesome List,Community,https://github.com/travisvn/awesome-claude-skills,https://github.com/travisvn/awesome-claude-skills,Curated Claude Code skills list by category,Skill seekers,Claude Code,Read list,None,Free,Yes,MIT,2026-04,Slowing,Link list; audit each,Yes,PART7.15,2026-09-18,https://github.com/travisvn/awesome-claude-skills,D
ComposioHQ/awesome-claude-skills,Awesome List,Community,https://github.com/ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,Large community skills list (~66K stars),Skill seekers,Claude Code,Read list,None,Free,Yes,MIT,2026-05,Slowing,Link index + vendor content,Yes,PART7.15,2026-09-18,https://tellian.io/tag/mcp/,D
hesreallyhim/awesome-claude-code,Awesome List,Community,https://github.com/hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,"Broad Claude Code eco: skills, hooks, slash commands, MCP, plugins",Claude Code power users,Claude Code,Read; searchable CSV,None,Free,Yes,MIT,2026,Active,Broad but link list,Yes,PART7.15,2026-09-18,https://awesome.ecosyste.ms/lists/hztbuaa/awesome-claude-code,D
VoltAgent/awesome-agent-skills,Awesome List,Community,https://github.com/VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,"1000+ cross-platform skills (Claude Code, Codex, Gemini, Cursor)",Skill seekers,Cross-platform,Read list,None,Free,Yes,MIT,2026,Active,Link list,Yes,PART7.15,2026-09-18,https://thepromptshelf.dev/blog/best-claude-code-skills-2026/,D
sickn33/antigravity-awesome-skills,Awesome List,Community,https://github.com/sickn33/antigravity-awesome-skills,https://github.com/sickn33/antigravity-awesome-skills,1400+ skills registry-style; installer CLI,Developers,"Claude Code, Cursor, Codex, Gemini, Antigravity",CLI,None,Free,Yes,MIT,2026-04,Active,Audit installer,Partial,PART7.15,2026-09-18,https://agskills.dev/skills?page=694,D
vercel-labs/skills,Skill Repo,Official(Vercel),https://github.com/vercel-labs/skills,https://github.com/vercel-labs/skills,Source repo for skills.sh; 900K+ weekly installs,Developers,20+ agents,npx skills add,None,Free,Yes,MIT,2026,Active,Official Vercel,Yes,PART7.2,2026-09-18,https://skillsmp.com/creators/kevin-liu-01/agent-machines/knowledge-skills-find-skills,A
github/copilot-plugins,Plugin Repo,Official(GitHub),https://github.com/github/copilot-plugins,https://github.com/github/copilot-plugins,Official Copilot plugins marketplace incl. advanced-security,Copilot CLI users,GitHub Copilot CLI,/plugin marketplace add github/copilot-plugins,GitHub account,Paid,Yes,MIT,2026,Active,Official,Yes,PART7.6,2026-09-18,https://github.blog/changelog/2026-05-11-secret-scanning-with-github-mcp-server-is-now-generally-available/,A
iflytek/skillhub (讯飞),Skill Registry,Official(iFlytek),https://github.com/iflytek/skillhub,https://github.com/iflytek/skillhub,"Enterprise self-hosted skill registry; RBAC, audit, Docker/K8s",Enterprises,"Claude Code, Codex, etc.",Docker / K8s deploy,Internal auth,Free+enterprise,Yes,Apache 2.0,2026-03,Active,Private deployment; on-prem,Partial,PART7.15 / PART10,2026-09-18,https://opensource.iflytek.com/blog/skillhub-release-announcement,A
Astron SkillHub (在线实例),Skill Registry,Official(iFlytek),https://skill.xfyun.cn/,https://github.com/iflytek/skillhub,Hosted instance of iflytek SkillHub,Enterprises,Cross-platform,Web; versioned releases,SaaS auth,Free+enterprise,N/A,N/A,2026-09,Active,Governed registry,Yes,PART7.15,2026-09-18,https://skill.xfyun.cn/,A
io-oi-ai/Skillhub,Skill Repo,Community,https://github.com/io-oi-ai/Skillhub,https://github.com/io-oi-ai/Skillhub,同名 SkillHub 之一；本次未直接命中 README，待二次复核,Developers,Unknown,TBD,Unknown,Unknown,Unknown,Unknown,Unknown,To verify,同名项目，勿与 iflytek/skillhub 混淆,No,Appendix,2026-09-18,https://github.com/io-oi-ai/Skillhub,D
Glama,MCP Directory,Community,https://glama.ai/,N/A,"MCP server registry superset: 88K servers, maintainer-verified, quality/safety scores",Developers,MCP clients,Browser test / one-click deploy,Free tier,Free+paid,N/A,N/A,2026-09,Active,Maintainer-verified; still audit,Yes,PART7.7,2026-09-18,https://glama.ai/,B
Smithery,MCP Platform,Community,https://smithery.ai/,N/A,"Discover/deploy/manage MCP servers; CLI, hosted remote, managed OAuth",Developers,"Claude Desktop, Cursor, VS Code",smithery mcp search/publish,Smithery account,Free+paid,N/A,N/A,2026-09,Active,Hosted OAuth; review scopes,Yes,PART7.7,2026-09-18,https://smithery.ai/,B
PulseMCP,MCP Directory,Community,https://pulsemcp.com/,N/A,Daily hand-curated MCP server directory; ~12K servers,Developers,MCP clients,Web browse,None,Free,N/A,N/A,2026,Active,Hand-reviewed; still audit,Yes,PART7.7,2026-09-18,https://www.automationswitch.com/ai-workflows/where-to-find-mcp-servers-2026,B
mcp.so,MCP Directory,Community,https://mcp.so/,N/A,Community third-party MCP server collection,Developers,MCP clients,Web browse,None,Free,N/A,N/A,2026,Active,Minimal moderation,Yes,PART7.7,2026-09-18,https://mcpserver.cc/directory,B
MCP Servers.org (wong2),MCP Directory,Community,https://mcpservers.org/,https://github.com/wong2/mcp-servers,Community-driven MCP server list (awesome list),Developers,"Cursor, Claude",One-click Add to Cursor,None,Free,Yes,MIT,2026-08,Active,Split official/vendor/community,Yes,PART7.7,2026-09-18,https://mcpservers.org/,B
Cursor Directory,MCP Directory,Community(Cursor),https://cursor.directory/,N/A,MCP/plugins directory for Cursor IDE users,Cursor users,Cursor,One-click Add to Cursor,Cursor account,Free,N/A,N/A,2026-09,Active,Client gallery,Yes,PART7.7,2026-09-18,https://cursor.directory/,B
MCP Repository,MCP Directory,Community,https://mcprepository.com/,N/A,MCP server directory (~13.6K servers),Developers,MCP clients,Web browse,None,Free,N/A,N/A,2026-08,Active,Aggregator,Yes,PART7.7,2026-09-18,https://mcprepository.com/,B
mcprepository.net,MCP Directory,Community,https://mcprepository.net/,N/A,MCP server search + hosting solutions,Developers,MCP clients,Web,Paid hosting,Free+paid,N/A,N/A,2026-03,Active,注意与 .com 区分,Yes,PART7.7,2026-09-18,https://mcprepository.net/about/,B
ModelScope MCP Marketplace,MCP Directory,Official(Alibaba),https://modelscope.cn/mcp,N/A,中文 MCP 市场 (~5.4K servers),中文开发者,MCP clients,Web,ModelScope account,Free,N/A,N/A,2026,Active,中文生态,Yes,PART7.7,2026-09-18,https://arxiv.org/pdf/2503.23278,A
Docker MCP Catalog,MCP Catalog,Official(Docker),https://www.docker.com/,N/A,"Containerized, security-scanned MCP server catalog",Enterprise devs,MCP clients,docker run,Docker Hub auth,Free+paid,N/A,N/A,2026,Active,Container security scan,Partial,PART7.7,2026-09-18,https://designrevision.com/blog/best-mcp-marketplaces-and-registries,A
Pipedream MCP,MCP Platform,Community(Pipedream),https://mcp.pipedream.com/,https://github.com/PipedreamHQ/pipedream,Exposes thousands of SaaS app actions as MCP tools,Developers,"ChatGPT, Claude, etc.",Static URL https://mcp.pipedream.net/v2,Pipedream OAuth,Free+paid,Yes,MIT,2026-09,Active,Per-user OAuth; you don't store tokens,Yes,PART7.7 / PART7.8,2026-09-18,https://mcp.pipedream.com/configuration,C
Composio,Integration Platform,Community,https://composio.dev/,https://github.com/ComposioHQ/composio,AI-native agent integration; 850+ connectors; MCP gateway,Developers,"OpenAI, Anthropic, Vercel AI SDK, LangChain, etc.",SDK/CLI; connect.composio.dev/mcp,OAuth per user,Free+paid,Yes,Apache 2.0,2026-09,Active,Managed auth; review scopes,Partial,PART7.8 / PART10,2026-09-18,https://docs.composio.dev/docs/composio-connect,C
Composio Connect,MCP Gateway,Community,https://connect.composio.dev/mcp,https://github.com/ComposioHQ/composio,Single MCP connection to 1000+ apps via 7 meta-tools,Developers,MCP clients,Point MCP client at URL,Composio API key,Free+paid,Yes,Apache 2.0,2026-09,Active,Meta-tool discovery,Partial,PART7.8,2026-09-18,https://docs.composio.dev/docs/composio-connect,C
Zapier,Automation Platform,Commercial,https://zapier.com/,N/A,9000+ app automation; Zapier MCP exposes actions to agents,Non-technical users,"ChatGPT, Claude, Cursor, CLI",Web; Zapier MCP,Zapier account,Free+paid ($19.99+/mo),No,Proprietary,2026-09,Active,SOC 2; app/action restrictions,Yes,PART9 Automation,2026-09-18,https://zapier.com/compare,C
Work IQ MCP (Microsoft),MCP,Official(Microsoft),https://learn.microsoft.com/microsoft-365/copilot/extensibility/work-iq/mcp/github-copilot-cli,N/A,Microsoft 365 work context via MCP,Enterprise users,GitHub Copilot CLI,/plugin marketplace add microsoft/work-iq,Microsoft 365 account,Paid,N/A,N/A,2026-06,Active,Enterprise scoped,Partial,PART7.8,2026-09-18,https://learn.microsoft.com/microsoft-365/copilot/extensibility/work-iq/mcp/github-copilot-cli,A
getAbstract MCP,MCP,Commercial,https://registry.modelcontextprotocol.io/,N/A,Semantic search/Q&A over getAbstract book summaries,Knowledge workers,MCP clients,Add via registry,getAbstract account,Paid,N/A,N/A,2026-09,Active,Subscription required,Yes,LAB A 学习,2026-09-18,https://staging.registry.modelcontextprotocol.io/,C
n8n,Automation Platform,Community,https://n8n.io/,https://github.com/n8n-io/n8n,Workflow automation + AI agents; 500+ integrations; MCP node,Technical teams,Any MCP client,Self-host Docker / Cloud,Service OAuth,Free self-host / $20+/mo cloud,Yes,Sustainable Use,2026-09,Active,Self-host security on you,Partial,PART9 Automation,2026-09-18,https://n8n.io/,C
Make,Automation Platform,Commercial,https://www.make.com/,N/A,Visual scenario builder; built-in AI Agents,Business users,MCP clients,Web,Service OAuth,Free+paid ($9+/mo),No,Proprietary,2026-08,Active,Managed cloud,Yes,PART9,2026-09-18,https://www.make.com/en/blog/best-automated-workflow-tools-for-scaling-manual-processes,C
Dify,Agent Builder,Community,https://dify.ai/,https://github.com/langgenius/dify,Open-source LLM app/agent platform; visual workflow + RAG,Teams,Own deployed apps,Self-host / Cloud,Model API keys,Free self-host / $59+/mo,Yes,Apache 2.0,2026-09,Active,Sandboxed Linux exec in v1.16,Yes,PART10 Build Agent,2026-09-18,https://dify.ai/,C
Coze (扣子),Agent Builder,Official(ByteDance),https://www.coze.com/,N/A,"ByteDance bot/agent builder; visual orchestration, plugins",中文用户,"Coze apps, Doubao",Web,Doubao account,Free+paid,No,Proprietary,2026,Active,Cloud only,Yes,PART10,2026-09-18,https://00011000.com/en/articles/2026-ai-agent-builder-platform-review,C
Langflow,Agent Builder,Community,https://www.langflow.org/,https://github.com/langflow-ai/langflow,Low-code visual agent/MCP builder; LangChain ecosystem,Developers,Any MCP client,pip / docker,Model API keys,Free+paid,Yes,MIT,2026-09,Active,Visual debugging,Yes,PART10,2026-09-18,https://www.langflow.org/,C
Flowise,Agent Builder,Community,https://flowiseai.com/,https://github.com/FlowiseAI/Flowise,LangChain visual flow builder; acquired by Workday 2025,Developers,Any,npm install,Model API keys,Free+paid,Yes,Apache 2.0,2026,Active,Prototype tool,Yes,PART10,2026-09-18,https://ossalt.com/guides/dify-vs-flowise-vs-langflow-2026/raw.md,C
Microsoft Power Automate,Automation Platform,Official(Microsoft),https://make.powerautomate.com/,N/A,RPA + cloud flows; desktop automation; Microsoft 365 deep,Enterprise users,Microsoft 365 Copilot,Web / Desktop recorder,Microsoft account,Paid,No,Proprietary,2026,Active,Enterprise governance,Yes,PART9,2026-09-18,https://www.make.com/en/blog/best-automated-workflow-tools-for-scaling-manual-processes,A
AutoGPT,Agent Framework,Community,https://agpt.co/,https://github.com/Significant-Gravitas/AutoGPT,Early autonomous agent project; still referenced,Experimenters,Self-hosted,pip / docker,Model API keys,Free,Yes,MIT,2026,Slowing,Experiment,Partial,PART0 intro,2026-09-18,https://autogpt.net/top-ai-agent-frameworks/,D
Claude Code,Coding Agent,Official(Anthropic),https://code.claude.com/,https://github.com/anthropics/claude-code (docs),Terminal coding agent; plugins/skills/hooks/MCP,Developers,Claude Code,npm install,Anthropic / Claude subscription,Paid,Partial,Proprietary core,2026-09,Active,Hooks run commands; review,Yes,LAB F,2026-09-18,https://code.claude.com/docs/en/plugins,A
OpenAI Codex,Coding Agent,Official(OpenAI),https://github.com/openai/codex,https://github.com/openai/codex,Terminal + cloud coding agent; AGENTS.md,Developers,Codex CLI / app,npm install,OpenAI account,Free+paid,Yes,Open,2026-09,Active,Sandbox,Yes,LAB F,2026-09-18,https://github.com/openai/codex,A
Gemini CLI,Coding Agent,Official(Google),https://github.com/google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,Open-source terminal agent; extensions/skills,Developers,Gemini CLI,npm install,Google account / API key,Free tier,Yes,Apache 2.0,2026-09,Active,Policy engine,Yes,LAB F,2026-09-18,https://geminicli.com/docs/cli/skills/,A
Cursor,Coding Agent,Commercial(Anysphere),https://cursor.com/,N/A,AI IDE; .cursor/rules/*.mdc four trigger modes,Developers,Cursor,Desktop install,Cursor account,Paid ($20+/mo),No,Proprietary,2026-09,Active,Rules injected every prompt,Yes,LAB F,2026-09-18,https://cursor.com/docs/rules,C
OpenCode,Coding Agent,Community(SST),https://opencode.ai/,https://github.com/sst/opencode,Open-source MIT coding agent; 160K+ stars; 75+ model providers,Developers,OpenCode,curl install,BYO API key,Free (token costs),Yes,MIT,2026-09,Active,No code on external servers,Yes,LAB F,2026-09-18,https://opencode.ai/docs/en/skills/,C
GitHub Copilot CLI,Coding Agent,Official(GitHub),https://github.com/github/copilot-cli,https://github.com/github/copilot-cli,Terminal coding agent; plugins/MCP/hooks,Developers,Copilot CLI,npm install,GitHub account,Paid,Yes,MIT,2026-09,Active,PermissionRequest hook,Yes,LAB F,2026-09-18,https://github.com/github/copilot-cli,A
Windsurf,Coding Agent,Commercial(Codeium),https://windsurf.com/,N/A,AI IDE; skills at ~/.codeium/windsurf/skills/,Developers,Windsurf,Desktop install,Windsurf account,Paid,No,Proprietary,2026,Active,Cloud sync,Yes,LAB F,2026-09-18,https://goddaehee.tistory.com/m/553,C
Antigravity,Coding Agent,Official(Google),https://antigravity.google/,N/A,Google AI IDE; listed by skills.sh,Developers,Antigravity,Desktop install,Google account,Paid,No,Proprietary,2026,Active,New product,Partial,LAB F,2026-09-18,https://agentify.ia.br/blog/skills-sh/,A
Kiro CLI,Coding Agent,Official(AWS),https://kiro.dev/,N/A,AWS terminal coding agent; listed by skills.sh,Developers,Kiro CLI,npm install,AWS / API key,Free+paid,No,Proprietary,2026,Active,AWS ecosystem,Partial,LAB F,2026-09-18,https://agentify.ia.br/blog/skills-sh/,A
LangGraph,Framework,Community(LangChain),https://www.langchain.com/langgraph,https://github.com/langchain-ai/langgraph,Graph-based stateful multi-agent runtime,Advanced devs,LangChain,pip install langgraph,Model API keys,Free+paid cloud,Yes,MIT,2026-08,Active,Human-in-the-loop built in,Partial,PART10,2026-09-18,https://www.langchain.com/langgraph,C
CrewAI,Framework,Community,https://www.crewai.com/,https://github.com/crewAIInc/crewAI,Role-based multi-agent crew pattern; 52.8K stars,Beginners in code,CrewAI,pip install crewai,Model API keys,Free+paid,Yes,MIT,2026-07,Active,Simplest multi-agent onboarding,Partial,PART10,2026-09-18,https://the-agent-report.com/2026/07/ai-agent-frameworks-comparison-2026-langgraph-crewai-autogen/,C
